student_id,concept,concept_difficulty,attempts,time_spent,correct,mastery_label
69487be7,Variables,1,1,22,1,1
1932d7f3,Recursion,3,1,29,0,0
a13cc4dc,Loops,2,3,22,0,0
00e69998,Dynamic Programming,4,2,51,1,0
c1db4161,Variables,1,2,22,0,0
75eee0b0,Loops,2,1,22,1,1
96ed030e,Loops,2,3,29,0,0
0efdd7c7,Variables,1,1,28,0,0
8e5699ff,Loops,2,2,23,1,0
f1fc10b2,Functions,2,1,25,0,0
28fc7c4c,Recursion,3,2,18,0,0
d7be5c1e,Recursion,3,2,48,0,0
67386278,Dynamic Programming,4,2,50,0,0
59811e5d,Variables,1,1,29,0,0
80459ec7,Recursion,3,1,33,1,0
cb5d5a7d,Functions,2,2,26,1,0
a4e0c28d,Variables,1,1,20,1,1
4fb1bc31,Recursion,3,2,30,0,0
c30bde50,Functions,2,1,27,1,0
2d51fd19,Loops,2,1,14,1,1
e1571e55,Dynamic Programming,4,1,38,0,0
b8b005de,Functions,2,3,28,1,0
7882fad6,Dynamic Programming,4,3,49,1,0
fe579de6,Loops,2,3,24,0,0
5c2bc04a,Loops,2,2,22,0,0
09505742,Recursion,3,2,30,0,0
ecbc285c,Functions,2,3,34,0,0
0db3460b,Functions,2,2,25,0,0
67386278,Dynamic Programming,4,2,37,0,0
2d51fd19,Dynamic Programming,4,2,35,0,0
faf2230c,Dynamic Programming,4,1,38,0,0
28fc7c4c,Dynamic Programming,4,1,36,0,0
7498baf0,Recursion,3,2,37,1,0
d20907be,Variables,1,2,25,1,0
b87fb52d,Variables,1,1,12,1,1
5537bfd1,Dynamic Programming,4,3,40,0,0
c1db4161,Functions,2,3,31,0,0
dc54d27c,Dynamic Programming,4,1,35,0,0
84c8caac,Recursion,3,1,34,1,0
86878cf1,Dynamic Programming,4,2,39,0,0
a13cc4dc,Dynamic Programming,4,1,19,0,0
1e9af1a8,Loops,2,1,21,1,0
f2af96c0,Functions,2,1,38,1,0
f6bfc15f,Recursion,3,1,38,0,0
0ae7c5b8,Functions,2,2,32,1,0
9f98a2dc,Recursion,3,1,26,1,0
d20907be,Recursion,3,1,27,1,0
00e69998,Recursion,3,1,31,1,0
6313f2f8,Recursion,3,2,31,1,0
82b05027,Functions,2,1,14,1,0
00a8a9a8,Loops,2,3,24,0,0
049fc19a,Dynamic Programming,4,2,38,1,0
5ac87020,Functions,2,1,17,0,0
dc54d27c,Functions,2,2,25,1,0
5e4c63f7,Dynamic Programming,4,1,20,0,0
ccd462cf,Dynamic Programming,4,3,24,0,0
0fa3f87c,Variables,1,3,26,0,0
e6237686,Variables,1,3,19,0,0
abb9c659,Recursion,3,2,36,0,0
d611361f,Loops,2,1,36,1,0
22394829,Dynamic Programming,4,2,36,1,0
b87fb52d,Variables,1,2,26,1,0
7498baf0,Dynamic Programming,4,1,28,1,0
56060b4d,Recursion,3,3,29,0,0
dc54d27c,Loops,2,2,42,0,0
92807a16,Dynamic Programming,4,1,42,0,0
25c83068,Loops,2,3,28,0,0
fe579de6,Dynamic Programming,4,3,47,0,0
4334f0ec,Recursion,3,2,36,1,0
bd0c2b39,Recursion,3,2,20,0,0
03f4c13e,Dynamic Programming,4,2,27,0,0
342d668c,Dynamic Programming,4,1,27,0,0
3d1f9bcf,Variables,1,2,25,1,0
abb9c659,Functions,2,1,43,1,0
dbd84587,Dynamic Programming,4,1,41,0,0
5c2bc04a,Variables,1,2,23,1,0
09505742,Loops,2,2,23,0,0
60e2fa70,Dynamic Programming,4,3,35,0,0
a13cc4dc,Functions,2,2,25,1,0
25823a23,Loops,2,1,30,1,1
5c2bc04a,Recursion,3,2,37,0,0
dbd84587,Functions,2,2,25,0,0
80f3d5b0,Loops,2,3,22,0,0
c5ebe991,Recursion,3,1,31,0,0
1d4c9cc0,Loops,2,1,29,1,0
96ed030e,Dynamic Programming,4,3,44,0,0
629f1950,Recursion,3,2,25,0,0
c30bfd68,Dynamic Programming,4,3,41,1,0
a13cc4dc,Dynamic Programming,4,2,30,1,0
f6bfc15f,Loops,2,1,21,1,0
30b66672,Variables,1,1,24,1,1
5745afc1,Functions,2,1,40,0,0
543086ca,Dynamic Programming,4,3,51,0,0
c30bde50,Variables,1,3,23,0,0
697ebb27,Loops,2,3,46,0,0
7d83aaa2,Functions,2,1,28,1,0
b87fb52d,Recursion,3,2,28,1,0
e11c2057,Recursion,3,2,39,0,0
84b563ae,Functions,2,2,38,1,0
60b5d26b,Recursion,3,1,40,1,0
e3f0ada2,Functions,2,1,34,0,0
faf2230c,Loops,2,2,29,0,0
4fb1bc31,Variables,1,2,27,1,1
f6bfc15f,Dynamic Programming,4,2,27,1,0
163a7d7d,Recursion,3,1,31,1,0
1104d582,Dynamic Programming,4,3,36,0,0
b1694887,Recursion,3,1,20,0,0
72ddfa48,Functions,2,1,21,0,0
c54abbb6,Recursion,3,2,25,1,0
7eb5baa2,Variables,1,3,23,0,0
e96f6898,Dynamic Programming,4,3,43,0,0
96ed030e,Functions,2,1,28,1,0
e9b79c29,Loops,2,1,24,1,0
38caeb3c,Dynamic Programming,4,1,33,0,0
aa8a37f4,Functions,2,2,29,1,1
a8070b67,Variables,1,1,20,1,1
48123c8b,Functions,2,1,37,0,0
859789fb,Loops,2,1,16,1,1
0db3460b,Recursion,3,2,41,1,0
c06c593a,Variables,1,1,27,0,0
25823a23,Recursion,3,1,42,1,0
e9b79c29,Loops,2,2,33,0,0
2a9272f0,Recursion,3,1,21,0,0
080b3811,Functions,2,1,21,1,0
28fc7c4c,Variables,1,1,35,0,0
4f4a93f9,Functions,2,1,35,0,0
8fb1f315,Recursion,3,1,34,1,0
d41f22aa,Functions,2,1,36,0,0
c1db4161,Dynamic Programming,4,1,33,0,0
39119303,Loops,2,1,40,1,1
cc50d102,Dynamic Programming,4,1,19,1,0
c1db4161,Loops,2,1,30,1,1
3dfc2e3a,Functions,2,2,54,0,0
bd0c2b39,Dynamic Programming,4,1,33,0,0
1932d7f3,Functions,2,2,18,0,0
b3f64f19,Recursion,3,3,38,0,0
dc2ec317,Functions,2,1,21,1,1
73b88305,Functions,2,2,35,0,0
03e26a0b,Dynamic Programming,4,2,39,0,0
4eba48a6,Loops,2,1,33,0,0
0413c097,Recursion,3,1,44,0,0
39119303,Recursion,3,1,23,0,0
40bdcaf0,Functions,2,1,23,0,0
75eee0b0,Dynamic Programming,4,1,37,0,0
8fb1f315,Functions,2,1,19,0,0
